year,duration,guests_total,guests_daily,beer_price,beer_consumption,roast_chicken_price,roast_chicken_consumption
2000,18,6.9,383.0,6.35,64591.0,7.85,681242.0
2001,16,5.5,344.0,6.47,48698.0,8.12,351705.0
2002,16,5.9,369.0,6.75,57614.0,8.1,459259.0
2003,16,6.3,394.0,6.75,62294.0,8.14,487487.0
2004,16,5.9,369.0,7.02,61163.0,8.28,481649.0
2005,17,6.1,359.0,7.15,61772.0,8.35,479610.0
2006,18,6.5,361.0,7.42,68617.0,8.5,494135.0
2007,16,6.2,388.0,7.85,69406.0,8.87,521872.0
2008,16,6.0,375.0,8.25,64922.0,9.06,459356.0
2009,16,5.7,356.0,8.53,66436.0,9.18,488137.0
2010,17,6.4,376.0,8.79,71000.0,9.6,505901.0
2011,17,6.9,406.0,9.09,79225.0,9.83,522821.0
2012,16,6.4,400.0,9.41,74025.0,10.07,508958.0
2013,16,6.4,400.0,9.78,77031.0,11.1,482361.0
2014,16,6.3,394.0,9.98,76808.0,10.49,509420.0
2015,16,5.9,369.0,10.27,75134.0,10.75,503510.0
2016,17,5.6,329.0,10.57,66231.0,11.0,366876.0
2017,18,6.2,344.0,10.87,77836.0,11.41,466747.0
2018,16,6.3,394.0,11.3,78705.0,11.67,436492.0
2019,16,6.3,394.0,11.71,78502.0,12.15,434998.0
